Training start time (UTC): 1970-01-01 02:00:00
IR,RED,Ax,Ay,Az
102345,88067,14184,-4136,-11676
102435,88124,15048,-3440,-11100
102429,88121,15516,-3468,-10340
102494,88153,15996,-3624,-9000
102481,88146,15916,-3516,-9332
102538,88162,15716,-3072,-9824
102533,88196,15364,-2396,-10036
102583,88237,14524,-2160,-10088
102623,88255,14176,-2068,-10172
102676,88298,13852,-1876,-10436
102707,88310,13952,-1772,-10244
102773,88352,14284,-1436,-10208
102788,88347,14376,-1280,-9544
102854,88430,14704,-1016,-8824
102829,88375,15048,-596,-8208
102842,88440,15484,-416,-8432
102769,88352,15292,-500,-8452
102778,88383,15068,-900,-8676
102667,88295,14776,-1504,-8852
102691,88308,14712,-2188,-9108
102626,88258,14260,-1868,-9256
102635,88271,13812,-1368,-9360
102601,88254,13408,-1380,-9352
102647,88262,13180,-1160,-8824
102681,88278,13188,-1036,-9012
102679,88257,13280,-916,-8992
102708,88282,13216,-920,-8700
102695,88215,13576,-988,-8488
102708,88213,13840,-920,-8812
102598,88149,13584,-796,-9484
102621,88167,12928,-632,-9820
102589,88159,12188,-920,-9984
102652,88179,11492,-1448,-10228
102695,88231,11464,-1684,-10348
102772,88264,11848,-1520,-10372
102775,88261,12244,-1332,-10632
102800,88263,13180,-1068,-10584
102767,88196,13788,-600,-11056
102694,88194,14492,160,-11708
102628,88119,14320,780,-12204
102634,88137,14040,844,-12612
102619,88122,13440,340,-13060
102670,88175,13192,-376,-12968
102634,88121,13596,-708,-12804
102653,88191,13984,-812,-12332
102583,88132,14316,-696,-12116
102662,88239,14232,-468,-11212
102668,88205,14532,-384,-9332
102766,88319,14608,-876,-9096
102781,88290,15400,-2068,-9676
102803,88308,15368,-3120,-9624
102791,88344,14524,-3572,-10440
102930,88442,13404,-3816,-10404
103110,88583,12716,-3844,-10320
103256,88669,12608,-3472,-10752
103428,88790,12684,-3344,-10696
103501,88813,12876,-3100,-10344
103578,88874,12424,-2724,-9964
103550,88846,12604,-2476,-10324
103584,88840,12248,-2484,-9864
103487,88774,12256,-2688,-9824
103462,88736,12088,-2788,-10560
103375,88694,11804,-2964,-11480
103365,88677,11340,-3212,-11332
103307,88657,11268,-2948,-11660
103301,88664,10996,-2400,-11728
103317,88659,10888,-1724,-11624
103315,88671,10972,-1200,-11920
103290,88621,11132,-1368,-11908
103279,88622,11324,-1400,-12284
103203,88564,11648,-1556,-12816
103175,88576,11728,-2012,-12980
103078,88497,11600,-2340,-13184
103078,88513,11804,-2260,-13516
102968,88453,11564,-2292,-13804
102966,88478,11432,-2336,-13868
102857,88400,11216,-2428,-14160
102893,88407,10800,-2336,-14252
102821,88359,10788,-2556,-13892
102800,88364,10788,-2840,-13720
102737,88343,10272,-3080,-13364
102734,88309,10288,-2968,-13252
102731,88301,10164,-2968,-13188
102671,88246,9896,-2856,-12396
102669,88276,10024,-2548,-12368
102621,88224,9900,-2584,-12572
102661,88242,10204,-2828,-12128
102636,88229,10672,-3104,-12208
102664,88258,11380,-3296,-12044
102620,88215,11956,-3416,-11928
102670,88239,12468,-3660,-12256
102639,88246,12472,-3748,-12332
102673,88270,12748,-3844,-12292
102672,88256,12984,-3888,-12312
102666,88273,13276,-4052,-12232
102688,88256,13516,-3956,-12456
102695,88293,14268,-4384,-13032
102723,88300,14508,-4796,-12692
102756,88346,14580,-5428,-12588
102768,88316,14596,-5624,-12660
102790,88348,14024,-5220,-12960
102759,88287,13880,-4816,-13052
102776,88367,13548,-4540,-13552
102704,88292,13264,-4524,-13784
102767,88355,12988,-4388,-14132
102707,88285,12800,-4032,-13764
102747,88310,12700,-3712,-13540
102699,88275,12960,-3228,-13520
102712,88306,13056,-3320,-13208
102647,88266,13252,-3308,-13028
102651,88247,13476,-3068,-13020
102636,88253,13280,-2452,-12692
102601,88198,12916,-1964,-12564
102600,88235,12592,-1344,-12832
102578,88183,12156,-1188,-12676
102613,88204,11932,-1160,-12608
102581,88194,12128,-1048,-12176
102634,88238,12900,-1256,-11940
102610,88204,13248,-1500,-11832
102659,88237,13988,-1940,-11696
102662,88241,13904,-2144,-11520
102711,88286,13644,-2192,-11184
102727,88312,13432,-2000,-10912
102783,88350,12988,-1640,-10704
102801,88350,12704,-1416,-10336
102822,88374,12280,-920,-9556
102812,88345,12200,-668,-9216
102791,88341,12040,-1000,-9736
102706,88257,11808,-1644,-9856
102640,88223,12064,-2436,-10716
102561,88151,12744,-3008,-11136
102555,88202,13120,-3648,-11064
102487,88132,14124,-3612,-10604
102528,88199,14564,-2996,-9920
102507,88127,14648,-1380,-9732
102544,88200,14584,-596,-9716
102539,88174,14688,-588,-9416
102547,88193,14716,-1020,-8784
102525,88165,14588,-1452,-8568
102502,88160,14364,-1744,-8856
102525,88177,14140,-1548,-8860
102531,88157,13728,-1252,-8884
102612,88229,13712,-664,-8772
102628,88228,14204,-364,-8308
102724,88285,15156,-300,-7628
102724,88277,15716,-192,-6904
102762,88303,16460,-604,-6400
102682,88248,17116,-976,-6244
102692,88246,17212,-1680,-6308
102676,88258,16576,-2348,-6176
102737,88273,15556,-2828,-6364
102743,88285,15100,-2852,-6796
102759,88310,14812,-2268,-6112
102767,88313,16324,-1980,-5732
102773,88302,17332,-1840,-4524
102725,88253,18012,-2104,-3396
102657,88208,18124,-2904,-3352
102537,88107,17920,-3528,-5328
102536,88129,15488,-4176,-7520
102512,88120,14744,-3928,-8168
102655,88301,16120,-3628,-6864
102761,88337,16788,-2984,-3344
102888,88461,17192,-2096,-1164
102906,88419,16980,-1544,316
102980,88474,17324,-1888,552
102993,88529,16768,-2140,980
103131,88643,15436,-2532,1056
103244,88729,15828,-2364,2384
103389,88800,16420,-1604,3864
103468,88850,16692,-460,4248
103464,88804,16292,-224,4100
103496,88839,15472,-516,3936
103418,88761,14968,-620,3504
103393,88734,14628,-728,3428
103248,88649,14560,-728,2940
103219,88610,14596,-840,2608
103105,88525,14076,-532,2544
103066,88527,13740,-40,2252
103031,88499,13552,116,2208
103065,88515,13816,-84,2244
103031,88490,14416,-792,2252
